id_cliente,cliente
1,Cliente_115
2,Cliente_217
3,Cliente_14
4,Cliente_143
5,Cliente_111
6,Cliente_177
7,Cliente_64
8,Cliente_36
9,Cliente_52
10,Cliente_190
11,Cliente_88
12,Cliente_286
13,Cliente_162
14,Cliente_109
15,Cliente_136
16,Cliente_186
17,Cliente_79
18,Cliente_196
19,Cliente_275
20,Cliente_81
21,Cliente_153
22,Cliente_272
23,Cliente_44
24,Cliente_244
25,Cliente_103
26,Cliente_265
27,Cliente_11
28,Cliente_31
29,Cliente_122
30,Cliente_293
31,Cliente_49
32,Cliente_240
33,Cliente_56
34,Cliente_282
35,Cliente_209
36,Cliente_195
37,Cliente_285
38,Cliente_30
39,Cliente_245
40,Cliente_127
41,Cliente_268
42,Cliente_5
43,Cliente_260
44,Cliente_146
45,Cliente_54
46,Cliente_140
47,Cliente_135
48,Cliente_299
49,Cliente_187
50,Cliente_53
51,Cliente_84
52,Cliente_128
53,Cliente_114
54,Cliente_13
55,Cliente_15
56,Cliente_262
57,Cliente_224
58,Cliente_170
59,Cliente_159
60,Cliente_66
61,Cliente_292
62,Cliente_221
63,Cliente_110
64,Cliente_264
65,Cliente_102
66,Cliente_38
67,Cliente_205
68,Cliente_91
69,Cliente_234
70,Cliente_219
71,Cliente_133
72,Cliente_226
73,Cliente_164
74,Cliente_278
75,Cliente_300
76,Cliente_26
77,Cliente_173
78,Cliente_10
79,Cliente_21
80,Cliente_123
81,Cliente_132
82,Cliente_297
83,Cliente_125
84,Cliente_178
85,Cliente_175
86,Cliente_236
87,Cliente_139
88,Cliente_166
89,Cliente_94
90,Cliente_142
91,Cliente_251
92,Cliente_9
93,Cliente_298
94,Cliente_181
95,Cliente_62
96,Cliente_95
97,Cliente_145
98,Cliente_155
99,Cliente_284
100,Cliente_7
101,Cliente_252
102,Cliente_156
103,Cliente_116
104,Cliente_220
105,Cliente_283
106,Cliente_241
107,Cliente_233
108,Cliente_73
109,Cliente_148
110,Cliente_207
111,Cliente_118
112,Cliente_266
113,Cliente_206
114,Cliente_212
115,Cliente_105
116,Cliente_249
117,Cliente_237
118,Cliente_75
119,Cliente_243
120,Cliente_19
121,Cliente_270
122,Cliente_274
123,Cliente_51
124,Cliente_24
125,Cliente_90
126,Cliente_131
127,Cliente_203
128,Cliente_129
129,Cliente_168
130,Cliente_188
131,Cliente_174
132,Cliente_204
133,Cliente_191
134,Cliente_288
135,Cliente_238
136,Cliente_20
137,Cliente_70
138,Cliente_213
139,Cliente_17
140,Cliente_2
141,Cliente_57
142,Cliente_263
143,Cliente_23
144,Cliente_246
145,Cliente_42
146,Cliente_169
147,Cliente_193
148,Cliente_167
149,Cliente_227
150,Cliente_113
151,Cliente_255
152,Cliente_214
153,Cliente_39
154,Cliente_230
155,Cliente_97
156,Cliente_231
157,Cliente_82
158,Cliente_27
159,Cliente_198
160,Cliente_277
161,Cliente_211
162,Cliente_189
163,Cliente_271
164,Cliente_28
165,Cliente_192
166,Cliente_71
167,Cliente_33
168,Cliente_124
169,Cliente_185
170,Cliente_199
171,Cliente_280
172,Cliente_151
173,Cliente_98
174,Cliente_43
175,Cliente_152
176,Cliente_229
177,Cliente_121
178,Cliente_294
179,Cliente_154
180,Cliente_63
181,Cliente_45
182,Cliente_65
183,Cliente_16
184,Cliente_208
185,Cliente_74
186,Cliente_137
187,Cliente_197
188,Cliente_161
189,Cliente_158
190,Cliente_254
191,Cliente_69
192,Cliente_61
193,Cliente_77
194,Cliente_117
195,Cliente_32
196,Cliente_176
197,Cliente_107
198,Cliente_141
199,Cliente_149
200,Cliente_165
201,Cliente_291
202,Cliente_279
203,Cliente_99
204,Cliente_72
205,Cliente_6
206,Cliente_160
207,Cliente_47
208,Cliente_92
209,Cliente_12
210,Cliente_296
211,Cliente_267
212,Cliente_41
213,Cliente_138
214,Cliente_287
215,Cliente_134
216,Cliente_87
217,Cliente_112
218,Cliente_248
219,Cliente_256
220,Cliente_144
221,Cliente_222
222,Cliente_3
223,Cliente_86
224,Cliente_235
225,Cliente_108
226,Cliente_289
227,Cliente_85
228,Cliente_200
229,Cliente_89
230,Cliente_228
231,Cliente_150
232,Cliente_180
233,Cliente_106
234,Cliente_202
235,Cliente_184
236,Cliente_67
237,Cliente_68
238,Cliente_78
239,Cliente_261
240,Cliente_216
241,Cliente_35
242,Cliente_34
243,Cliente_126
244,Cliente_29
245,Cliente_101
246,Cliente_120
247,Cliente_215
248,Cliente_55
249,Cliente_76
250,Cliente_232
251,Cliente_22
252,Cliente_96
253,Cliente_242
254,Cliente_182
255,Cliente_253
256,Cliente_1
257,Cliente_250
258,Cliente_183
259,Cliente_223
260,Cliente_210
261,Cliente_130
262,Cliente_37
263,Cliente_46
264,Cliente_259
265,Cliente_269
266,Cliente_59
267,Cliente_80
268,Cliente_218
269,Cliente_201
270,Cliente_290
271,Cliente_40
272,Cliente_104
273,Cliente_295
274,Cliente_4
275,Cliente_8
276,Cliente_60
277,Cliente_276
278,Cliente_194
279,Cliente_225
280,Cliente_83
281,Cliente_157
282,Cliente_273
283,Cliente_257
284,Cliente_163
285,Cliente_93
286,Cliente_172
287,Cliente_58
288,Cliente_171
289,Cliente_239
290,Cliente_25
291,Cliente_100
292,Cliente_258
293,Cliente_50
294,Cliente_18
295,Cliente_48
