id_venta,fecha,pais,ciudad,cliente,producto,categoria,talla,cantidad,precio_unitario
1,2024-02-01,Perú,Lima,Cliente_115,Camiseta,Básicos,L,3,12
2,2024-01-12,Ecuador,Cuenca,Cliente_217,Camiseta,Básicos,L,5,12
3,2024-03-05,Ecuador,Quito,Cliente_14,Camiseta,Básicos,S,2,12
4,2024-03-16,Perú,Lima,Cliente_143,Zapatos,Calzado,38,4,50
5,2024-01-20,Ecuador,Quito,Cliente_111,Zapatos,Calzado,39,3,50
6,2024-02-15,Colombia,Bogotá,Cliente_177,Camiseta,Básicos,M,1,12
7,2024-03-09,Perú,Arequipa,Cliente_64,Camiseta,Básicos,L,4,12
8,2024-01-25,Colombia,Bogotá,Cliente_36,Chaqueta,Abrigos,L,5,60
9,2024-01-30,Ecuador,Cuenca,Cliente_52,Jeans,Denim,M,1,35
10,2024-01-21,Colombia,Medellín,Cliente_190,Zapatos,Calzado,42,3,50
11,2024-03-22,Colombia,Bogotá,Cliente_88,Chaqueta,Abrigos,M,5,60
12,2024-02-04,Perú,Lima,Cliente_286,Jeans,Denim,M,4,35
13,2024-01-05,Ecuador,Cuenca,Cliente_162,Chaqueta,Abrigos,M,2,60
14,2024-02-10,Colombia,Medellín,Cliente_109,Camiseta,Básicos,S,5,12
15,2024-01-19,Perú,Arequipa,Cliente_136,Zapatos,Calzado,42,4,50
16,2024-02-21,Ecuador,Quito,Cliente_186,Chaqueta,Abrigos,L,5,60
17,2024-01-15,Ecuador,Quito,Cliente_79,Zapatos,Calzado,37,1,50
18,2024-02-19,Perú,Lima,Cliente_196,Zapatos,Calzado,41,1,50
19,2024-03-28,Perú,Arequipa,Cliente_275,Chaqueta,Abrigos,M,1,60
20,2024-02-25,Colombia,Cali,Cliente_81,Chaqueta,Abrigos,M,3,60
21,2024-01-14,Colombia,Bogotá,Cliente_153,Chaqueta,Abrigos,M,5,60
22,2024-03-10,Perú,Lima,Cliente_272,Jeans,Denim,M,2,35
23,2024-01-15,Ecuador,Cuenca,Cliente_186,Chaqueta,Abrigos,L,1,60
24,2024-01-11,Colombia,Bogotá,Cliente_44,Camiseta,Básicos,S,5,12
25,2024-01-17,Perú,Arequipa,Cliente_244,Camiseta,Básicos,L,2,12
26,2024-03-10,Perú,Lima,Cliente_103,Chaqueta,Abrigos,L,2,60
27,2024-02-26,Perú,Arequipa,Cliente_265,Zapatos,Calzado,42,3,50
28,2024-02-13,Colombia,Bogotá,Cliente_11,Jeans,Denim,S,1,35
29,2024-03-31,Perú,Lima,Cliente_31,Jeans,Denim,S,1,35
30,2024-03-06,Ecuador,Quito,Cliente_122,Camiseta,Básicos,M,1,12
31,2024-01-17,Colombia,Cali,Cliente_293,Zapatos,Calzado,38,5,50
32,2024-01-25,Perú,Arequipa,Cliente_49,Jeans,Denim,M,4,35
33,2024-02-22,Ecuador,Cuenca,Cliente_240,Zapatos,Calzado,39,4,50
34,2024-02-13,Perú,Lima,Cliente_56,Camiseta,Básicos,S,4,12
