id_venta,fecha,pais,ciudad,id_cliente,id_producto,talla,cantidad
1,2024-02-01,Perú,Lima,1,1,L,3
2,2024-01-12,Ecuador,Cuenca,2,1,L,5
3,2024-03-05,Ecuador,Quito,3,1,S,2
4,2024-03-16,Perú,Lima,4,2,38,4
5,2024-01-20,Ecuador,Quito,5,2,39,3
6,2024-02-15,Colombia,Bogotá,6,1,M,1
7,2024-03-09,Perú,Arequipa,7,1,L,4
8,2024-01-25,Colombia,Bogotá,8,3,L,5
9,2024-01-30,Ecuador,Cuenca,9,4,M,1
10,2024-01-21,Colombia,Medellín,10,2,42,3
11,2024-03-22,Colombia,Bogotá,11,3,M,5
12,2024-02-04,Perú,Lima,12,4,M,4
13,2024-01-05,Ecuador,Cuenca,13,3,M,2
14,2024-02-10,Colombia,Medellín,14,1,S,5
15,2024-01-19,Perú,Arequipa,15,2,42,4
16,2024-02-21,Ecuador,Quito,16,3,L,5
17,2024-01-15,Ecuador,Quito,17,2,37,1
18,2024-02-19,Perú,Lima,18,2,41,1
19,2024-03-28,Perú,Arequipa,19,3,M,1
20,2024-02-25,Colombia,Cali,20,3,M,3
21,2024-01-14,Colombia,Bogotá,21,3,M,5
22,2024-03-10,Perú,Lima,22,4,M,2
23,2024-01-15,Ecuador,Cuenca,16,3,L,1
24,2024-01-11,Colombia,Bogotá,23,1,S,5
25,2024-01-17,Perú,Arequipa,24,1,L,2
26,2024-03-10,Perú,Lima,25,3,L,2
27,2024-02-26,Perú,Arequipa,26,2,42,3
28,2024-02-13,Colombia,Bogotá,27,4,S,1
29,2024-03-31,Perú,Lima,28,4,S,1
30,2024-03-06,Ecuador,Quito,29,1,M,1
31,2024-01-17,Colombia,Cali,30,2,38,5
32,2024-01-25,Perú,Arequipa,31,4,M,4
33,2024-02-22,Ecuador,Cuenca,32,2,39,4
34,2024-02-13,Perú,Lima,33,1,S,4
35,2024-01-18,Ecuador,Quito,2,4,L,4
36,2024-02-26,Ecuador,Guayaquil,34,2,38,1
37,2024-01-22,Ecuador,Quito,35,1,S,2
38,2024-01-22,Colombia,Medellín,36,4,M,1
39,2024-02-24,Ecuador,Guayaquil,37,3,L,3
40,2024-01-28,Perú,Arequipa,38,4,S,3
41,2024-03-15,Perú,Lima,39,3,M,1
42,2024-01-24,Perú,Lima,8,1,L,1
43,2024-03-13,Perú,Lima,40,4,M,1
44,2024-03-13,Perú,Lima,41,1,M,5
45,2024-01-31,Colombia,Medellín,15,4,L,3
46,2024-01-10,Colombia,Bogotá,42,3,L,3
47,2024-01-28,Colombia,Cali,43,1,S,5
48,2024-02-17,Colombia,Bogotá,44,3,M,2
49,2024-02-08,Ecuador,Guayaquil,45,3,M,5
50,2024-01-20,Ecuador,Guayaquil,46,1,S,5
51,2024-01-27,Colombia,Cali,15,4,L,3
52,2024-03-22,Perú,Arequipa,2,3,M,1
53,2024-03-22,Colombia,Bogotá,47,1,M,2
54,2024-03-12,Ecuador,Cuenca,42,2,41,4
55,2024-02-17,Ecuador,Quito,48,4,L,1
56,2024-02-09,Perú,Lima,49,2,38,1
57,2024-03-26,Ecuador,Guayaquil,50,4,L,2
58,2024-01-31,Colombia,Cali,51,2,41,2
59,2024-02-22,Ecuador,Guayaquil,52,1,S,3
60,2024-03-01,Colombia,Bogotá,53,1,M,1
61,2024-01-29,Ecuador,Guayaquil,54,3,L,2
62,2024-01-09,Perú,Lima,4,2,39,3
63,2024-02-12,Colombia,Cali,55,2,42,5
64,2024-01-05,Ecuador,Guayaquil,33,4,L,3
65,2024-03-18,Perú,Arequipa,56,3,L,4
66,2024-03-31,Ecuador,Guayaquil,57,4,M,1
67,2024-01-09,Ecuador,Cuenca,58,4,M,4
68,2024-03-05,Perú,Arequipa,59,1,L,3
69,2024-03-11,Perú,Arequipa,60,3,L,3
70,2024-03-19,Ecuador,Guayaquil,61,2,42,2
71,2024-01-27,Colombia,Medellín,62,1,M,3
72,2024-03-27,Perú,Arequipa,63,2,40,4
73,2024-02-06,Perú,Arequipa,64,4,L,1
74,2024-01-29,Perú,Arequipa,65,1,S,3
75,2024-03-19,Ecuador,Quito,66,1,S,4
76,2024-03-04,Colombia,Medellín,67,4,L,4
77,2024-01-29,Ecuador,Quito,68,1,S,4
78,2024-01-16,Perú,Arequipa,69,1,L,2
79,2024-03-05,Ecuador,Guayaquil,70,3,L,5
80,2024-02-27,Perú,Arequipa,71,4,L,4
81,2024-02-05,Ecuador,Cuenca,72,3,L,2
82,2024-02-12,Ecuador,Cuenca,73,3,M,3
83,2024-02-19,Perú,Lima,17,4,S,2
84,2024-02-12,Perú,Lima,74,1,M,4
85,2024-02-19,Colombia,Medellín,75,1,S,4
86,2024-02-15,Perú,Lima,21,2,40,1
87,2024-02-04,Colombia,Medellín,57,4,M,2
88,2024-01-22,Colombia,Bogotá,32,2,39,4
89,2024-03-13,Ecuador,Cuenca,3,1,M,5
90,2024-01-24,Ecuador,Cuenca,76,2,38,4
